0:	7.399426587059E-06
1:	1.642920706458E-05
2:	2.591773748593E-05
3:	3.329316256468E-05
4:	3.885296689672E-05
5:	4.554337241275E-05
6:	5.286426824950E-05
7:	5.997817297079E-05
8:	6.749043161847E-05
9:	7.512966472210E-05
10:	8.257368842724E-05
11:	8.986671116892E-05
12:	9.713120561800E-05
13:	1.043522537104E-04
14:	1.115238807781E-04
15:	1.189712644135E-04
16:	1.264848523412E-04
17:	1.339809829860E-04
18:	1.414497916698E-04
19:	1.489035390496E-04
20:	1.563324498411E-04
21:	1.637369198390E-04
22:	1.711076735969E-04
23:	1.784947069780E-04
24:	1.859799476942E-04
25:	1.934621501278E-04
26:	2.009396851811E-04
27:	2.084121881905E-04
28:	2.158784515217E-04
29:	2.233382617704E-04
30:	2.307909764200E-04
31:	2.382356274186E-04
32:	2.456859511445E-04
33:	2.531823103201E-04
34:	2.606816244797E-04
35:	2.681837015102E-04
36:	2.756883281280E-04
37:	2.831952993982E-04
38:	2.907042847671E-04
39:	2.982150091069E-04
40:	3.057273334893E-04
41:	3.132417251208E-04
42:	3.207793737642E-04
43:	3.283256059939E-04
44:	3.358772962456E-04
45:	3.434343408156E-04
46:	3.509967209472E-04
47:	3.585642270638E-04
48:	3.661370611770E-04
49:	3.737151525838E-04
50:	3.812982707310E-04
51:	3.888898250909E-04
52:	3.964936781017E-04
53:	4.041040549210E-04
54:	4.117209864499E-04
55:	4.193445259266E-04
56:	4.269747883444E-04
57:	4.346114940910E-04
58:	4.422546836002E-04
59:	4.499042128117E-04
60:	4.575601295130E-04
61:	4.652253078674E-04
62:	4.728988728729E-04
63:	4.805799520282E-04
64:	4.882686550138E-04
65:	4.959645836439E-04
66:	5.036679278640E-04
67:	5.113786516104E-04
68:	5.190967512849E-04
69:	5.268224070662E-04
70:	5.345560516342E-04
71:	5.422981968308E-04
72:	5.500480951910E-04
73:	5.578057718731E-04
74:	5.655713495532E-04
75:	5.733448356335E-04
76:	5.811261574552E-04
77:	5.889151812796E-04
78:	5.967120031590E-04
79:	6.045166941973E-04
80:	6.123292654367E-04
81:	6.201502006598E-04
82:	6.279790573713E-04
83:	6.358159071595E-04
84:	6.436607691018E-04
85:	6.515137243241E-04
86:	6.593747839939E-04
87:	6.672439499616E-04
88:	6.751213459073E-04
89:	6.830068539065E-04
90:	6.909006162171E-04
91:	6.988027813869E-04
92:	7.067131725252E-04
93:	7.146319051576E-04
94:	7.225589022236E-04
95:	7.304942665380E-04
96:	7.384379208873E-04
97:	7.463899515727E-04
98:	7.543503558097E-04
99:	7.623191130005E-04
100:	7.702962687905E-04
101:	7.782818913995E-04
102:	7.862759891679E-04
103:	7.942784884921E-04
104:	8.022894940885E-04
105:	8.103089429526E-04
106:	8.183369447062E-04
107:	8.263734505474E-04
108:	8.344185074199E-04
109:	8.424721375343E-04
110:	8.505343051511E-04
111:	8.586051881603E-04
112:	8.666846183443E-04
113:	8.747727867222E-04
114:	8.828695984628E-04
115:	8.909751042181E-04
116:	8.990893773292E-04
117:	9.072123430402E-04
118:	9.153441178109E-04
119:	9.234846468914E-04
120:	9.316340087068E-04
121:	9.397921835421E-04
122:	9.479592314964E-04
123:	9.561351341069E-04
124:	9.643199397464E-04
125:	9.725136408853E-04
126:	9.807162674035E-04
127:	9.889277709211E-04
128:	9.971482109892E-04
129:	1.005377700591E-03
130:	1.013616171760E-03
131:	1.021863736794E-03
132:	1.030120232627E-03
133:	1.038385816968E-03
134:	1.046660472513E-03
135:	1.054944295910E-03
136:	1.063237219754E-03
137:	1.071539255120E-03
138:	1.079850512310E-03
139:	1.088170950847E-03
140:	1.096500657022E-03
141:	1.104839546183E-03
142:	1.113187781093E-03
143:	1.121545297618E-03
144:	1.129912147325E-03
145:	1.138288363567E-03
146:	1.146673976049E-03
147:	1.155069000849E-03
148:	1.163473469205E-03
149:	1.171887408530E-03
150:	1.180310848929E-03
151:	1.188743795857E-03
152:	1.197186296361E-03
153:	1.205638374552E-03
